"id","nome","partido"
178866,"Luizianne Lins","PT"
178868,"Odorico Monteiro","PSB"
178871,"Evair Vieira de Melo","PP"
178873,"Helder Salomão","PT"
178874,"Sergio Vidigal","PDT"
178876,"Célio Silveira","MDB"
178879,"Lucas Vergilio","SOLIDARIEDADE"
178881,"Aluisio Mendes","REPUBLICANOS"
178882,"André Fufuca","PP"
178884,"Hildo Rocha","MDB"
178886,"Juscelino Filho","UNIÃO"
178887,"Rubens Pereira Júnior","PT"
178888,"Victor Mendes","MDB"
178889,"Zé Carlos","PT"
178895,"Misael Varella","PSD"
178896,"Newton Cardoso Jr","MDB"
178901,"Tereza Cristina","PP"
178908,"Delegado Éder Mauro","PL"
178909,"Hélio Leite","UNIÃO"
178910,"Joaquim Passarinho","PL"
178912,"Pedro Cunha Lima","PSDB"
178916,"Daniel Coelho","CIDADANIA"
178920,"Ricardo Teobaldo","PODE"
178921,"Sebastião Oliveira","AVANTE"
178922,"Tadeu Alencar","PSB"
178923,"Zeca Cavalcanti","PTB"
178924,"Capitão Fábio Abreu","PSD"
178925,"Rejane Dias","PT"
178927,"Aliel Machado","PV"
178928,"Christiane de Souza Yared","PP"
178929,"Diego Garcia","REPUBLICANOS"
178930,"Roman","PP"
178931,"Luciano Ducci","PSB"
178933,"Sergio Souza","MDB"
178934,"Toninho Wandscheer","PP"
178935,"Rossoni","PSDB"
178937,"Altineu Côrtes","PL"
178939,"Clarissa Garotinho","UNIÃO"
178943,"Marcos Soares","UNIÃO"
178945,"Rosangela Gomes","REPUBLICANOS"
178946,"Soraya Santos","PL"
178947,"Sóstenes Cavalcante","PL"
178948,"Beto Rosado","PP"
178951,"Rafael Motta","PSB"
178952,"Walter Alves","MDB"
178953,"Expedito Netto","PSD"
178954,"Lucio Mosquini","MDB"
178956,"Mariana Carvalho","REPUBLICANOS"
178959,"Hiran Gonçalves","PP"
178961,"Shéridan","PSDB"
178962,"Carlos Gomes","REPUBLICANOS"
178963,"Covatti Filho","PP"
178964,"Heitor Schuch","PSB"
178966,"Geovania de Sá","PSDB"
178969,"Fábio Mitidieri","PSD"
178970,"João Daniel","PT"
178972,"Alex Manente","CIDADANIA"
178975,"Baleia Rossi","MDB"
178977,"Eduardo Cury","PSDB"
178981,"Herculano Passos","REPUBLICANOS"
178982,"Luiz Lauro Filho","PSDB"
178983,"Marcio Alvino","PL"
178984,"Miguel Haddad","PSDB"
178985,"Miguel Lombardi","PL"
178986,"Nilto Tatto","PT"
178987,"Orlando Silva","PCdoB"
178989,"Renata Abreu","PODE"
